2025-05-26 19:00:22.868 [main] INFO  com.banxia.TliasWebManagementApplication-Starting TliasWebManagementApplication v0.0.1-SNAPSHOT using Java 18.0.2.1 with PID 29004 (C:\Users\19432\OneDrive\notes\JavaWeb\SpringBoot_Web\SpringWeb\tlias-web-management\target\tlias-web-management-0.0.1-SNAPSHOT.jar started by _ban_xia_ in C:\Users\19432\OneDrive\notes\JavaWeb\SpringBoot_Web\SpringWeb\tlias-web-management\target)
2025-05-26 19:00:22.870 [main] INFO  com.banxia.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-05-26 19:00:23.980 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-05-26 19:00:23.991 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-05-26 19:00:23.994 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-05-26 19:00:23.994 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-05-26 19:00:24.031 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-05-26 19:00:24.031 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1124 ms
2025-05-26 19:00:24.899 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-05-26 19:00:24.928 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-05-26 19:00:24.946 [main] INFO  com.banxia.TliasWebManagementApplication-Started TliasWebManagementApplication in 2.436 seconds (process running for 3.075)
2025-05-26 19:00:59.705 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-26 19:00:59.705 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-05-26 19:00:59.706 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-05-26 19:00:59.720 [http-nio-8080-exec-2] INFO  com.banxia.interceptor.TokenInterceptor-拦截到了请求...
2025-05-26 19:00:59.773 [http-nio-8080-exec-2] INFO  com.banxia.interceptor.TokenInterceptor-令牌校验失败
2025-05-26 19:01:08.427 [http-nio-8080-exec-3] INFO  com.banxia.controller.LoginController-用户登录：Emp(id=null, username=songjiang, password=123456, name=null, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-05-26 19:01:08.448 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-05-26 19:01:08.760 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@c629874
2025-05-26 19:01:08.762 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-05-26 19:01:08.836 [http-nio-8080-exec-3] INFO  com.banxia.service.impl.EmpServiceImpl-用户登录：Emp(id=2, username=songjiang, password=null, name=宋江, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
